".id","dataset","replicate.merging","rarity.cutoff","sample.type","frequency","percentage","log.freq","loess.5","loess.5.secderiv","Core","In-between","Satellite"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",76,35,4.33073334028633,4.17765580669391,-0.00967353765055279,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",59,36,4.07753744390572,4.11150795866966,-0.00154718780092613,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",49,37,3.89182029811063,4.04381292284448,0.00657916204870053,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",56,38,4.02535169073515,3.98136139349063,0.00669157843412321,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",52,39,3.95124371858143,3.92560144257091,0.00680399481954588,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",46,40,3.8286413964891,3.87718339900366,0.0101438864024992,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",48,41,3.87120101090789,3.83851909216215,0.0111428799249459,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",38,42,3.63758615972639,3.81099766524559,0.0121418734473926,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",52,43,3.95124371858143,3.79448326941306,0.00633181278967743,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",40,44,3.68887945411394,3.78503265789147,0.00491358125957824,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",37,45,3.61091791264422,3.78049562762947,0.00349534972947905,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",64,46,4.15888308335967,3.77713409594932,-0.0118419886863469,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",43,47,3.76120011569356,3.76596732069933,-0.00295885640318648,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",38,48,3.63758615972639,3.75184168904615,0.00592427587997396,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",37,49,3.61091791264422,3.74150699705505,0.00200739085578605,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",48,51,3.87120101090789,3.72294290061602,-0.00582637919258977,"80-100","19-79","1-18"
