"Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD"
256.090922355451,2,2,1,2,2,1,NA,NA,NA
256.09574415403,19.13,19,3.71,19.13,19,3.71,NA,NA,NA
256.119060902807,35.56,37,6.34,34.71,35,6.35,37.27,38,6.08
256.155475028624,28.13,29,5.64,28.32,29,5.14,22.5,22.5,17.68
256.892467772817,1.77,2,0.76,1.79,2,0.76,1,1,NA
257.019845301101,4.75,5,1.26,4.75,5,1.26,NA,NA,NA
257.030303985754,75.39,77,13.23,62.85,63,8.72,84.05,86,7.72
257.041558165799,4.81,4,4.42,4.2,3,2.7,24.5,24.5,4.95
257.045559830724,59.05,65,15.15,45.17,45,10.98,69.64,69,7.27
257.048925026251,28.24,20,19.07,15.8,13,7.95,48.67,48,13.5
257.066676545624,94.84,96,17.86,82.95,86,16.09,106.49,109,10.2
257.08193107564,46.96,47.5,9.4,34.35,35,6.74,50.85,50,6.11
257.094997569693,42.61,42,7.33,40.52,41.5,6.07,52.33,54,4.27
257.103052133468,68.51,70,9.84,65.76,69,10.88,71.19,72,7.87
257.131384889909,30.59,32,5.29,33.69,35,4.01,26.72,27,3.98
257.1394516025,66.49,69.5,11.31,73.67,76,8.38,59.47,58,9.22
257.175834021906,44.36,49,10.77,50.55,52,6.44,32.86,31.5,7.13
257.212237428171,38.39,39,4.66,38.39,39,4.66,NA,NA,NA
258.092797534489,5.89,6,1.29,5.89,6,1.29,NA,NA,NA
258.098334273139,46.53,46,13.52,40.23,39,12.05,57.07,58,8.33
258.134712278131,25.08,26,8.44,29.86,32,6.46,19.69,20,7.07
258.145966008667,19.65,20,5.66,19.65,20,5.66,NA,NA,NA
258.171113602464,21.67,22,5.99,22.54,23,4.64,11.71,8,10.19
258.871740001992,2.31,2,0.59,2.31,2,0.59,NA,NA,NA
258.889555226132,1.58,1,0.78,1.58,1,0.78,NA,NA,NA
258.926300340923,1,1,0,1,1,0,NA,NA,NA
258.999187434752,4,4,NA,4,4,NA,NA,NA,NA
259.03544407019,4.33,4,2.58,5.6,6,2.07,1.8,1,1.3
259.035627718136,3,3,NA,3,3,NA,NA,NA,NA
259.045954685646,83.33,85,12.89,73.21,73.5,9.44,90.83,94,9.57
259.072040838056,2,2,NA,2,2,NA,NA,NA,NA
259.074265523147,44.57,44,7.34,38.82,39,3.71,48.86,48,6.37
259.082340544151,90.47,91,15.7,82.61,85,15.04,98.32,100,12.03
259.110641150729,48.05,49,6.87,50.53,51,6.45,45.29,45,6.3
259.118707168251,71.95,73,8.47,74.26,76,8.65,69.67,69,7.68
259.12847943357,19.07,20,3.61,19.81,20,2.72,11,11,1.58
