"Mass","MolForm"
"234.1498664","C14H21O2N"
"234.9447239","C10H5OS2P"
"234.9740409","C7H8O5S2"
"234.9884288","C10H4O7"
"234.9988737","C11H9O2SP"
"235.0070019","C11H8O4S"
"235.0247912","C11H8O6"
"235.0281549","C8H12O6S"
"235.0295381","C9H8O2N4S"
"235.036023","C10H8O5N2"
"235.0434342","C12H12O3S"
"235.0472823","C9H8O4N4"
"235.0611873","C12H12O5"
"235.0641788","C11H13O2N2P"
"235.0645616","C9H16O5S"
"235.0724095","C11H12O4N2"
"235.0822885","C9H16O7"
"235.0836959","C10H12O3N4"
"235.0894444","C13H17O2P"
"235.0926772","C10H21O2SP"
"235.0975749","C13H16O4"
"235.1009797","C10H20O4S"
"235.1088092","C12H16O3N2"
"235.1187272","C10H20O6"
"235.1339408","C14H20O3"
"235.1373359","C11H24O3S"
"235.1703492","C15H24O2"
"236.0200457","C10H7O6N"
"236.0411845","C7H11O8N"
"236.0419543","C8H15O3NS2"
"236.0564412","C11H11O5N"
"236.0677363","C10H11O4N3"
"236.0693824","C8H16O5NP"
"236.0775878","C8H15O7N"
"236.0845068","C12H16O2NP"
"236.0961842","C9H19O4NS"
"236.0963141","C9H19O4NS"
"236.9240473","C9H3O2S2P"
"237.0040579","C10H6O7"
"237.022664","C11H10O4S"
"237.0404421","C11H10O6"
"237.0438231","C8H14O6S"
"237.0516402","C10H10O5N2"
"237.0557629","C15H10O3"
"237.062864","C9H10O4N4"
"237.0630255","C9H10O4N4"
"237.0768351","C12H14O5"
"237.0802207","C9H18O5S"
"237.088034","C11H14O4N2"
"237.0881915","C11H14O4N2"
"237.0920867","C16H14O2"
"237.0953938","C13H18O2S"
"237.0955764","C13H18O2S"
"237.0979613","C9H18O7"
"237.0989048","C10H22O2S2"
"237.1132227","C13H18O4"
"237.1165843","C10H22O4S"
"237.1167067","C10H22O4S"
"237.1496102","C14H22O3"
"237.1860149","C15H26O2"
"238.0356696","C10H9O6N"
"238.0358133","C10H9O6N"
"238.0469082","C9H9O5N3"
"238.0568144","C7H13O8N"
"238.0720655","C11H13O5N"
"238.1084315","C12H17O4N"
"238.1085636","C12H17O4N"
"238.1270909","C13H21ONS"
"238.9354506","C4H5O4N2S2P"
"239.0019507","C10H8O5S"
"239.0131375","C9H8O4N2S"
"239.0197221","C10H8O7"
"239.0309523","C9H8O6N2"
"239.0349883","C14H8O4"
"239.037973","C13H9ON2P"
"239.0383585","C11H12O4S"
"239.0495692","C10H12O3N2S"
"239.0561117","C11H12O6"
"239.0594649","C8H16O6S"
"239.0664251","C12H17OSP"
"239.0673352","C10H12O5N2"
"239.0713784","C15H12O3"
"239.0747324","C12H16O3S"
"239.092497","C12H16O5"
"239.1036894","C11H16O4N2"
"239.1288753","C13H20O4"
"239.1652571","C14H24O3"
"239.2016348","C15H28O2"
"240.0149741","C9H7O7N"
"240.0261854","C8H7O6N3"
"240.0270514","C9H11ON3S2"
"240.0513448","C10H11O6N"
"240.0625222","C9H11O5N3"
"240.0626827","C9H11O5N3"
"240.0666571","C14H11O3N"
"240.0877319","C11H15O5N"
"240.1241109","C12H19O4N"
"240.1242484","C12H19O4N"
"240.1604999","C13H23O3N"
"240.1969815","C14H27O2N"
"240.9812584","C9H6O6S"
"240.9990078","C9H6O8"
"241.0143298","C13H6O5"
"241.0176131","C10H10O5S"
"241.0177354","C10H10O5S"
"241.03537","C10H10O7"
"241.0457554","C11H15O2SP"
"241.0466195","C9H10O6N2"
"241.0506299","C14H10O4"
"241.0535715","C13H11ON2P"
"241.0539901","C11H14O4S"
"241.0717422","C11H14O6"
"241.0718738","C11H14O6"
"241.0829909","C10H14O5N2"
"241.0831144","C10H14O5N2"
"241.0903544","C12H18O3S"
"241.1081087","C12H18O5"
"241.1082543","C12H18O5"
"241.1193918","C11H18O4N2"
"241.1445007","C13H22O4"
"241.1809156","C14H26O3"
"241.2173386","C15H30O2"
"241.9765327","C8H5O6NS"
"241.9834482","C12H6ONSP"
"241.9942345","C8H5O8N"
"241.9951243","C9H9O3NS2"
"242.0128639","C9H9O5NS"
"242.030593","C9H9O7N"
"242.0307153","C9H9O7N"
"242.0670034","C10H13O6N"
"242.0699877","C9H14O3N3P"
"242.0822299","C14H13O3N"
"242.1033669","C11H17O5N"
"242.1035069","C11H17O5N"
"242.139775","C12H21O4N"
"242.142748","C11H22ON3P"
"242.1679937","C13H26ONP"
"242.1761465","C13H25O3N"
"242.9781906","C8H4O9"
"242.9783644","C8H4O9"
"242.9968753","C9H8O6S"
"243.0146297","C9H8O8"
"243.0159344","C10H4O4N4"
"243.0193035","C7H8O4N4S"
"243.0298688","C13H8O5"
"243.0332768","C10H12O5S"
"243.0486228","C14H12O2S"
"243.0510224","C10H12O7"
"243.0622684","C9H12O6N2"
"243.0631797","C10H16ON2S2"
"243.0662508","C14H12O4"
"243.0663942","C14H12O4"
"243.0696352","C11H16O4S"
"243.0873816","C11H16O6"
"243.0986597","C10H16O5N2"
"243.1025513","C15H16O3"
"243.1027707","C15H16O3"
"243.1098523","C9H16O4N4"
"243.1237626","C12H20O5"
"243.1238952","C12H20O5"
"243.1252235","C13H16ON4"
"243.1350273","C11H20O4N2"
"243.1390563","C16H20O2"
"243.1601665","C13H24O4"
"243.1965883","C14H28O3"
"244.0033428","C7H7O5N3S"
"244.0284895","C9H11O5NS"
"244.0397881","C8H11O4N3S"
"244.0462686","C9H11O7N"
"244.0575155","C8H11O6N3"
"244.0615406","C13H11O4N"
"244.0648114","C10H15O4NS"
"244.0761084","C9H15O3N3S"
"244.0826525","C10H15O6N"
"244.1092717","C13H15O2N3"
"244.1190458","C11H19O5N"
"244.1302798","C10H19O4N3"
"244.1554562","C12H23O4N"
"244.1740693","C13H27ONS"
"245.009148","C12H6O6"
"245.0125083","C9H10O6S"
"245.012645","C9H10O6S"
"245.0302737","C9H10O8"
"245.0349371","C7H10O4N4S"
"245.0455587","C13H10O5"
"245.0489119","C10H14O5S"
"245.0528455","C7H10O6N4"
"245.0566691","C12H10O4N2"
"245.0568618","C12H10O4N2"
"245.0666847","C10H14O7"
"245.0674509","C11H18O2S2"
"245.0779418","C9H14O6N2"
"245.0819342","C14H14O4"
"245.0853113","C11H18O4S"
"245.0890748","C8H14O5N4"
"245.0931783","C13H14O3N2"
"245.0965252","C10H18O3N2S"
"245.1030642","C11H18O6"
"245.1142776","C10H18O5N2"
"245.1182896","C15H18O3"
"245.1216983","C12H22O3S"
"245.1394342","C12H22O5"
"245.1546951","C16H22O2"
"245.1758367","C13H26O4"
"245.9810112","C7H6O7NP"
"246.0077761","C8H9O6NS"
"246.0156993","C10H5O5N3"
"246.0173843","C8H10O6NP"
"246.0341923","C11H9O2N3S"
"246.0407845","C12H9O5N"
"246.0441272","C9H13O5NS"
"246.0619404","C9H13O7N"
"246.0771588","C13H13O4N"
"246.098296","C10H17O6N"
