"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"238.0720655",10203,4555,5648,10287,4612,5675
"238.1084315",208,NA,208,208,NA,208
"238.1085636",10,NA,10,10,NA,10
"238.1270909",2,2,NA,2,2,NA
"238.9629644",670,459,211,442,270,172
"239.0019507",537,3,534,537,3,534
"239.0131375",1,NA,1,1,NA,1
"239.0197221",24821,7521,17300,24815,7521,17294
"239.0309523",151,NA,151,151,NA,151
"239.0349883",5525,2499,3026,5550,2499,3051
"239.0383585",877,47,830,877,47,830
"239.0495692",2,NA,2,2,NA,2
"239.0561117",38405,13883,24522,38267,13849,24418
"239.0594649",442,57,385,442,57,385
"239.0673352",4878,2234,2644,5080,2256,2824
"239.0713784",157,NA,157,157,NA,157
"239.0747324",163,NA,163,163,NA,163
"239.1036894",110,53,57,109,53,56
"239.1248747",7,7,NA,7,7,NA
"239.1288753",25777,13265,12512,25776,13265,12511
"239.1652571",8850,7824,1026,8288,7352,936
"239.2016348",22,22,NA,22,22,NA
"240.0149741",417,54,363,417,54,363
"240.0261854",9,NA,9,9,NA,9
"240.0513448",8534,1811,6723,8523,1811,6712
"240.0625222",4,NA,4,4,NA,4
"240.0626827",6,6,NA,6,6,NA
"240.0666571",3,3,NA,3,3,NA
"240.0877319",7573,2269,5304,7565,2268,5297
"240.1241109",1532,1431,101,1532,1431,101
"240.1604999",17,17,NA,17,17,NA
"240.1969815",1,NA,1,1,NA,1
"240.9812584",31,NA,31,31,NA,31
"240.9990078",541,285,256,541,285,256
"241.0143298",8,NA,8,8,NA,8
"241.0176131",1256,67,1189,1256,67,1189
"241.0466195",1720,1500,220,1726,1500,226
"241.0506299",2222,1488,734,2222,1488,734
"241.0539901",1007,106,901,1007,106,901
"241.0717422",22691,9497,13194,22626,9490,13136
"241.0829909",1723,1163,560,1723,1163,560
"241.0831144",1,1,NA,1,1,NA
"241.0846565",2,2,NA,2,2,NA
"241.0903544",437,NA,437,443,NA,443
"241.1042069",2,2,NA,2,2,NA
"241.1081087",17441,8701,8740,17441,8701,8740
"241.1193918",2277,2182,95,2277,2182,95
"241.1445007",12779,7480,5299,12763,7470,5293
"241.1809156",7522,7522,NA,7193,7193,NA
"241.2173386",33,20,13,33,20,13
"241.9942345",98,49,49,92,43,49
"242.0128639",57,NA,57,57,NA,57
"242.0307153",10,NA,10,10,NA,10
"242.0435999",4,4,NA,4,4,NA
"242.0670034",15788,5364,10424,15785,5363,10422
"242.0822299",105,105,NA,104,104,NA
"242.1033669",5464,3586,1878,5457,3586,1871
"242.1035069",7,7,NA,7,7,NA
"242.1761465",4779,3446,1333,4777,3444,1333
"242.9781906",11,NA,11,11,NA,11
"242.9783644",1,1,NA,1,1,NA
"242.9910612",1,1,NA,1,1,NA
"242.9968753",755,48,707,755,48,707
"243.0146297",3445,332,3113,3445,332,3113
"243.0298688",737,72,665,737,72,665
"243.0332768",4249,939,3310,4245,937,3308
"243.0486228",3,3,NA,3,3,NA
"243.0510224",30910,11315,19595,30908,11314,19594
"243.0544035",24,NA,24,23,NA,23
"243.0622684",1444,1238,206,1502,1290,212
"243.0662508",1114,67,1047,1114,67,1047
"243.0663942",10,3,7,9,3,6
"243.0696352",1004,29,975,1004,29,975
"243.0873816",21040,10092,10948,21019,10071,10948
"243.0986597",3044,3020,24,2889,2865,24
"243.1025513",8,NA,8,7,NA,7
"243.1237626",13318,7693,5625,13317,7693,5624
"243.1238952",5,5,NA,5,5,NA
"243.1350273",550,538,12,550,538,12
"243.1390563",34,34,NA,34,34,NA
"243.1601665",11696,8360,3336,11243,8047,3196
"243.1965883",7146,7146,NA,6939,6939,NA
"244.0284895",211,6,205,207,6,201
"244.0462686",1365,23,1342,1365,23,1342
"244.0575155",35,NA,35,35,NA,35
"244.0615406",480,1,479,489,1,488
"244.0648114",1,NA,1,1,NA,1
"244.0761084",1,NA,1,1,NA,1
"244.0826525",7520,4086,3434,7400,3974,3426
"244.1190458",5323,4296,1027,5296,4282,1014
"244.1302798",1721,1721,NA,1721,1721,NA
"244.1554562",1450,1409,41,1353,1313,40
"244.1740693",1,NA,1,1,NA,1
"245.0125083",1802,266,1536,1803,266,1537
"245.0302737",6452,865,5587,6352,858,5494
"245.0455587",18945,3582,15363,18945,3582,15363
"245.0489119",4684,1357,3327,4679,1356,3323
"245.0568618",22,2,20,22,2,20
"245.0666847",36843,15928,20915,36484,15903,20581
"245.0674509",15,15,NA,14,14,NA
"245.0779418",464,460,4,438,434,4
"245.0819342",10655,1188,9467,10653,1187,9466
"245.0853113",617,167,450,628,171,457
"245.0931783",26,23,3,26,23,3
"245.0965252",1,1,NA,1,1,NA
"245.1030642",34073,16462,17611,32777,15829,16948
"245.1142776",3572,3552,20,3563,3543,20
"245.1182896",909,30,879,931,30,901
"245.1216983",121,121,NA,121,121,NA
"245.1394342",14599,10371,4228,13367,9650,3717
"245.1546951",94,94,NA,94,94,NA
"245.1758367",2432,2432,NA,2319,2319,NA
"245.9810112",2,NA,2,2,NA,2
"246.0077761",33,NA,33,33,NA,33
"246.0173843",1,NA,1,1,NA,1
"246.0407845",3101,77,3024,3188,77,3111
"246.0441272",52,NA,52,52,NA,52
"246.0619404",932,354,578,932,354,578
"246.0771588",1250,NA,1250,1249,NA,1249
"246.1095509",1417,1398,19,1408,1395,13
"246.1135193",25,NA,25,25,NA,25
"246.9706918",8,NA,8,8,NA,8
"246.9740359",2,2,NA,1,1,NA
"246.9918373",20,NA,20,20,NA,20
"247.0070856",22,NA,22,22,NA,22
"247.0281631",1522,132,1390,1545,140,1405
"247.0360403",347,NA,347,347,NA,347
"247.0394157",5,NA,5,5,NA,5
"247.0459114",1990,180,1810,1990,180,1810
"247.0460458",6,1,5,6,1,5
"247.0612011",23162,5143,18019,23161,5142,18019
"247.0645256",836,93,743,749,65,684
"247.0724098",387,NA,387,387,NA,387
"247.0823368",29289,15657,13632,28429,15324,13105
"247.0837319",2,NA,2,1,NA,1
"247.0935696",2145,2126,19,2145,2126,19
"247.0975945",21363,4608,16755,21583,4661,16922
"247.1009705",380,62,318,380,62,318
"247.1121971",1,1,NA,1,1,NA
"247.1339672",6967,2088,4879,6848,2046,4802
"247.1373615",224,224,NA,223,223,NA
"247.1551073",2687,2687,NA,2554,2554,NA
"247.1703275",2896,2592,304,2732,2428,304
"247.9399328",61,61,NA,61,61,NA
"247.9870585",1,NA,1,1,NA,1
"247.9941262",1,1,NA,1,1,NA
"248.0200547",3998,98,3900,3988,98,3890
"248.0201814",5,NA,5,5,NA,5
"248.0387119",4,NA,4,4,NA,4
"248.0412663",29,NA,29,29,NA,29
"248.0564361",7486,210,7276,7331,203,7128
"248.0676509",11,NA,11,11,NA,11
"248.0775975",2219,681,1538,2201,663,1538
"248.0888242",90,90,NA,90,90,NA
"248.0928093",1843,NA,1843,1843,NA,1843
"248.1139872",4284,4261,23,3951,3929,22
"248.9710643",15,NA,15,14,NA,14
"249.0040636",13334,3172,10162,13304,3172,10132
"249.0152993",125,NA,125,125,NA,125
"249.0187055",2,NA,2,2,NA,2
"249.0222805",1,NA,1,1,NA,1
"249.0227066",1224,552,672,1224,552,672
"249.0322153",4,4,NA,3,3,NA
"249.0404675",30491,9533,20958,30822,9635,21187
"249.0438151",1608,155,1453,1607,155,1452
"249.0516664",752,10,742,752,10,742
"249.0591113",483,36,447,483,36,447
"249.0615572",200,27,173,193,27,166
"249.0629603",11,4,7,11,4,7
"249.0768527",32436,9839,22597,32590,9888,22702
"249.0802097",1954,270,1684,1953,270,1683
"249.0880558",659,35,624,659,35,624
"249.0881817",13,NA,13,13,NA,13
"249.0979835",9046,7220,1826,8768,6992,1776
"249.0988342",3,3,NA,3,3,NA
"249.0992607",1,NA,1,1,NA,1
"249.1132224",15852,6492,9360,15851,6492,9359
"249.1166177",201,201,NA,201,201,NA
"249.1244218",10,NA,10,10,NA,10
"249.1496147",17264,10708,6556,17264,10708,6556
