sample,total.transformations
Sample_S19S_0086_ICR.3_p05,29251
Sample_S19S_0086_Sed_Field_ICR.D_p2,28233
Sample_S19S_0086_Sed_Field_ICR.M_p2,31689
Sample_S19S_0086_Sed_Field_ICR.U_p2,29667
Sample_S19S_0087_ICR.1_p05,49662
Sample_S19S_0087_ICR.2_p05,47786
Sample_S19S_0087_ICR.3_p05,44743
Sample_S19S_0087_Sed_Field_ICR.D_p15,6802
Sample_S19S_0087_Sed_Field_ICR.U_p15,11250
Sample_S19S_0089_ICR.1_p05,70293
Sample_S19S_0089_ICR.2_p05,71399
Sample_S19S_0089_ICR.3_p05,59153
Sample_S19S_0089_Sed_Field_ICR.D_p2,27568
Sample_S19S_0089_Sed_Field_ICR.U_p2,28489
Sample_S19S_0090_ICR.2_p05,51132
Sample_S19S_0090_ICR.3_p05,53843
Sample_S19S_0090_Sed_Field_ICR.D_p2,29175
Sample_S19S_0090_Sed_Field_ICR.M_p2,30519
Sample_S19S_0090_Sed_Field_ICR.U_p2,34819
Sample_S19S_0091_ICR.3_p05,26673
Sample_S19S_0091_Sed_Field_ICR.D_p2,29165
Sample_S19S_0091_Sed_Field_ICR.U_p2,25484
Sample_S19S_0092_ICR.1_p05,51245
Sample_S19S_0092_ICR.2_p05,51595
Sample_S19S_0092_ICR.3_p05,52006
Sample_S19S_0092_Sed_Field_ICR.D_p2,27262
Sample_S19S_0092_Sed_Field_ICR.M_p1,13379
Sample_S19S_0092_Sed_Field_ICR.U_p2,39043
Sample_S19S_0093_ICR.1_p05,46775
Sample_S19S_0093_ICR.2_p05,47270
Sample_S19S_0093_ICR.3_p05,39232
Sample_S19S_0093_Sed_Field_ICR.D_p15,34412
Sample_S19S_0093_Sed_Field_ICR.M_p15,10737
Sample_S19S_0093_Sed_Field_ICR.U_p15,7888
Sample_S19S_0094_ICR.1_p05,48984
Sample_S19S_0094_ICR.2_p05,38635
Sample_S19S_0094_ICR.3_p05,37429
Sample_S19S_0094_Sed_Field_ICR.D_p15,19806
Sample_S19S_0094_Sed_Field_ICR.M_p15,18130
Sample_S19S_0094_Sed_Field_ICR.U_p15,35247
Sample_S19S_0096_ICR.1_p05,39334
Sample_S19S_0096_ICR.2_p05,36314
Sample_S19S_0096_Sed_Field_ICR.M_p2,22279
Sample_S19S_0097_ICR.1_p05,53363
Sample_S19S_0097_ICR.2_p05,51454
Sample_S19S_0097_ICR.3_p05,34383
Sample_S19S_0097_Sed_Field_ICR.D_p2,26245
Sample_S19S_0097_Sed_Field_ICR.M_p15,22048
Sample_S19S_0097_Sed_Field_ICR.U_p2,29853
Sample_S19S_0098_ICR.1_p05,37986
Sample_S19S_0098_ICR.2_p05,35849
Sample_S19S_0098_ICR.3_p05,27802
Sample_S19S_0099_ICR.1_p05,55115
Sample_S19S_0099_ICR.2_p05,67230
Sample_S19S_0099_ICR.3_p05,49630
Sample_S19S_0099_Sed_Field_ICR.D_p2,28501
Sample_S19S_0099_Sed_Field_ICR.M_p2,29742
Sample_S19S_0099_Sed_Field_ICR.U_p2,29620
Sample_S19S_0100_ICR.1_p05,21323
Sample_S19S_0100_ICR.3_p05,42866
Sample_S19S_0100_Sed_Field_ICR.D_p2,32201
Sample_S19S_0100_Sed_Field_ICR.M_p2,30798
Sample_S19S_0100_Sed_Field_ICR.U_p2,35310
Sample_S19S_0001_Sed_Field_ICR.D_p2,38926
Sample_S19S_0001_Sed_Field_ICR.M_p2,37668
Sample_S19S_0001_Sed_Field_ICR.U_p2,35336
Sample_S19S_0003_ICR.1_p05,39688
Sample_S19S_0003_ICR.2_p05,44150
Sample_S19S_0003_ICR.3_p05,46748
Sample_S19S_0003_Sed_Field_ICR.D_p15,27191
Sample_S19S_0003_Sed_Field_ICR.M_p15,10571
Sample_S19S_0003_Sed_Field_ICR.U_p15,33721
Sample_S19S_0004_ICR.1_p05,49334
